add-yield-none,12,100000,2400000,2715015098,1131,-70028
add-m,1,10,20,202738,10136,0
add-m,1,20,40,259053,6476,0
add-m,1,40,80,625525,7819,0
add-m,1,80,160,8837611,55235,0
add-m,1,100,200,8477114,42385,0
add-m,1,1000,2000,12976524,6488,0
add-m,1,10000,20000,17099907,854,0
add-m,1,100000,200000,103653303,518,0
add-m,2,10,40,25476169,636904,0
add-m,2,20,80,21873867,273423,0
add-m,2,40,160,25614201,160088,0
add-m,2,80,320,11753632,36730,0
add-m,2,100,400,28372783,70931,0
add-m,2,1000,4000,28643924,7160,0
add-m,2,10000,40000,29693787,742,0
add-m,2,100000,400000,395831327,989,0
add-m,4,10,80,13418347,167729,0
add-m,4,20,160,21646444,135290,0
add-m,4,40,320,13428241,41963,0
add-m,4,80,640,21383081,33411,0
add-m,4,100,800,22439681,28049,0
add-m,4,1000,8000,37452246,4681,0
add-m,4,10000,80000,52916713,661,0
add-m,4,100000,800000,448367952,560,0
add-m,8,10,160,15438099,96488,0
add-m,8,20,320,19432816,60727,0
add-m,8,40,640,27534795,43023,0
add-m,8,80,1280,26054838,20355,0
add-m,8,100,1600,23458203,14661,0
add-m,8,1000,16000,48075903,3004,0
add-m,8,10000,160000,139451111,871,0
add-m,8,100000,1600000,280702368,175,0
add-m,12,10,240,71349319,297288,0
add-m,12,20,480,41456705,86368,0
add-m,12,40,960,33959179,35374,0
add-m,12,80,1920,44451756,23151,0
add-m,12,100,2400,36801877,15334,0
add-m,12,1000,24000,48109875,2004,0
add-m,12,10000,240000,139617158,581,0
add-m,12,100000,2400000,622567173,259,0
add-s,1,10,20,20355449,1017772,0
add-s,1,20,40,11903971,297599,0
add-s,1,40,80,11336098,141701,0
add-s,1,80,160,10376435,64852,0
add-s,1,100,200,16775106,83875,0
add-s,1,1000,2000,8344710,4172,0
add-s,1,10000,20000,464363,23,0
add-s,1,100000,200000,21428637,107,0
add-s,2,10,40,23888816,597220,0
add-s,2,20,80,16339417,204242,0
add-s,2,40,160,13420331,83877,0
add-s,2,80,320,24076119,75237,0
add-s,2,100,400,20479842,51199,0
add-s,2,1000,4000,18220987,4555,0
add-s,2,10000,40000,13059270,326,0
